"","year","birth","death","infmortality","stillbirth","marriage","divorce","gdp","g","inf"
"1",1964,38.9,8.7,57.6,54.3,11.2,0.3,1.8956,1.8956,1.89557417280998
"2",1965,36,8.8,66.2,55.2,10.9,0.3,1.7856,-0.0580291200675247,1.78556598298228
"3",1966,36,9,65,48.2,11.1,0.3,2.5049,0.402833781362007,2.50489556095838
"4",1967,31.0331446311176,8.56008035062089,70.5324670017572,43.2793807178044,10.4115940264589,0.311967372778184,1.8785,-0.250069863068386,1.87853219781653
"5",1968,31.6249858422522,9.18791158595402,70.4474792396395,42.9394704131982,10.2533210031278,0.298712920702921,6.9771,2.71418685121107,6.97710758672968
"6",1969,27.7446962997668,8.25803634615314,71.968524822068,41.8484476259054,9.94692926887004,0.326249468004862,2.3152,-0.668171589915581,2.31522056676472
"7",1970,27.4645865352832,7.86563753887579,57.6297988228059,37.7039479245921,11.2218037402795,0.304009303649801,1.5419,-0.33401002073255,1.54186594325667
"8",1971,26.0836876429035,7.65641766257991,52.266715315151,38.6706418800421,10.6542692023098,0.42588525842194,0.3163,-0.794863480121928,0.31634446369251
"9",1972,25.2594692162338,7.93566855627944,65.0849034659223,33.6720014385902,12.2542798319091,0.319635991012588,5.3959,16.0594372431236,5.3959355293341
"10",1973,23.0233719145921,7.7979234678501,63.8021483887085,33.8385788762309,13.0651740297745,0.338189924700978,13.4508,1.49278155636687,13.4507978726776
"11",1974,27.2548685629932,7.29461193436666,46.3711357386884,35.3281620513645,15.6815988190541,0.265712825753705,29.1156,1.16459987510037,29.115630311092
"12",1975,25.2868409104922,8.07246271208291,50.0953140931861,39.6781472178467,15.8489762287777,0.246624329490104,14.7383,-0.493800574262595,14.738323271755
"13",1976,25.7566870663229,7.71129137570412,40.2165506573859,33.5520305622457,18.7049722778632,0.216907736744835,12.9557,-0.120950177428876,12.9557291671836
"14",1977,25.9900545204002,7.79298587698324,45.5593277170041,30.1613755538393,18.8059977886831,0.429191562137461,9.1725,-0.292010466435623,9.17249897074801
"15",1978,27.0787649477932,7.06588866190537,34.6546403987657,26.1961630325911,23.0123438803898,0.546331597570003,8.5451,-0.0684001090215317,8.54513915082284
"16",1979,27.5432472038809,7.23348436868347,34.0557275541796,24.896574857441,19.6381047028702,0.557960517450478,14.4664,0.692946835028262,14.4663702058303
"17",1980,27.2183628197205,7.16223672129179,32.8592074237469,24.5585398427066,18.4133352794245,0.726678736572747,41.9995,1.90324476027208,41.9995143865698
"18",1981,25.4645259071744,6.78557659552334,35.4067368926984,23.0856516805572,17.1470184464059,0.622155677629526,14.4616,-0.655672091334421,14.4615910742107
"19",1982,22.6282365813922,6.63361279005683,30.3664455229529,19.9851638521621,21.6982814469417,0.628702062727136,11.4157,-0.210619848426177,11.4156931283651
"20",1983,21.0374257131191,6.52097303459849,27.0488302567266,18.7651331719128,20.475376138949,0.720781159060029,5.5895,-0.510367301172946,5.58949801843945
"21",1984,20.0865226072172,6.56575984888676,24.8376942750344,19.483024691358,21.4676439236096,0.930626809757948,7.3892,0.321978710081403,7.38916256169466
"22",1985,18.9862502547701,6.76708527350548,25.1341866226259,19.3835720431196,22.0376119028581,0.901494128529545,6.6987,-0.0934471932008878,6.69870394658493
"23",1986,18.6413318293205,6.61733245167062,27.3343766301513,18.6844125927822,20.5297755649772,1.19802403827453,1.6327,-0.756266141191575,1.63265306122486
"24",1987,19.3353421833407,6.51782387880496,25.1584884939849,17.7976073739949,21.9905374285047,1.62535397777396,0.5187,-0.682305383720218,0.5187416331999
"25",1988,20.0730609189265,6.59388692332246,22.4917625710329,17.5463288763781,21.9566178028237,1.41865861993273,9.1593,16.6581839213418,9.1593141335105
"26",1989,20.7579476057303,6.80041093544889,22.8210063238933,18.6625893780636,21.3020565797234,1.3526625192626,12.67,0.38329348312644,12.670042091136
"27",1990,21.3473117517886,6.64069325399636,20.440668967348,15.8923673096181,21.5815447096881,1.03704753134519,13.4881,0.0645698500394633,13.4880887926371
"28",1991,20.7,6.56650419389082,18.6061179438663,17.7014647962119,21.1096242692463,1.32133726058939,7.001,-0.480949874333672,7.00101377541884
